,alias,code,title,units,image_file,description
91,P_S_01_a,PAV-PRD1-MAT3-5-COL2-3-BST1,Брусчатка каменная,m2,P_S_01.jpg,Серая гранитная брусчатка с засыпкой швов белой речной галькой. 100x100 поставщик: фабрика готика
92,P_S_01_b,PAV-PRD1-MAT3-5-COL2-3-BST2,Брусчатка каменная,m2,P_S_01.jpg,Серая гранитная брусчатка с засыпкой швов белой речной галькой. 100x100 поставщик: фабрика готика
93,P_S_02_a,PAV-PRD1-MAT3-12-COL2-1-BST1,Брусчатка каменная,m2,P_S_02.jpg,"Серая гранитная брусчатка с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
94,P_S_02_b,PAV-PRD1-MAT3-12-COL2-1-BST2,Брусчатка каменная,m2,P_S_02.jpg,"Серая гранитная брусчатка с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
95,P_S_03_a,PAV-PRD1-MAT3-5-COL5-3-BST1,Брусчатка каменная,m2,P_S_03.jpg,"Гранитная брусчатка габбро с засыпкой швов белой речной галькой. 100x100 
поставщик: фабрика готика"
96,P_S_03_b,PAV-PRD1-MAT3-5-COL5-3-BST2,Брусчатка каменная,m2,P_S_03.jpg,"Гранитная брусчатка габбро с засыпкой швов белой речной галькой. 100x100 
поставщик: фабрика готика"
97,P_S_04_a,PAV-PRD1-MAT3-12-COL5-1-BST1,Брусчатка каменная,m2,P_S_04.jpg,"Гранитная брусчатка габбро с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
98,P_S_04_b,PAV-PRD1-MAT3-12-COL5-1-BST2,Брусчатка каменная,m2,P_S_04.jpg,"Гранитная брусчатка габбро с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
99,P_W_01_a,PAV-PRD1-MAT7-5-COL10-3-BST1,Деревянная брусчатка,m2,P_W_01.jpg,"Светлая деревянная брусчатка с засыпкой швов белой речной
галькой."
100,P_W_01_b,PAV-PRD1-MAT7-5-COL10-3-BST2,Деревянная брусчатка,m2,P_W_01.jpg,"Светлая деревянная брусчатка с засыпкой швов белой речной
галькой."
101,P_W_02_a,PAV-PRD1-MAT7-12-COL10-1-BST1,Деревянная брусчатка,m2,P_W_02.jpg,"Светлая деревянная брусчатка с засыпкой швов черным
сланцем."
102,P_W_02_b,PAV-PRD1-MAT7-12-COL10-1-BST2,Деревянная брусчатка,m2,P_W_02.jpg,"Светлая деревянная брусчатка с засыпкой швов черным
сланцем."
103,P_W_03_a,PAV-PRD1-MAT7-5-COL9-3-BST1,Деревянная брусчатка,m2,P_W_03.jpg,"Темная деревянная брусчатка с засыпкой швов белой речной
галькой."
