alias,code,title,units,image_file,description
P_K_05_a,PAV-PRD1-MAT9-PAT23-COL6-BST1,Брусчатка клинкерная,m2,P_K_05.jpg,Светло-серая клинкерная брусчатка. раскладка елкой.
P_K_05_b,PAV-PRD1-MAT9-PAT23-COL6-BST2,Брусчатка клинкерная,m2,P_K_05.jpg,Светло-серая клинкерная брусчатка. раскладка елкой.
P_K_06_a,PAV-PRD1-MAT9-PAT23-COL7-BST1,Брусчатка клинкерная,m2,P_K_06.jpg,Желтая клинкерная брусчатка. раскладка елкой.
P_K_06_b,PAV-PRD1-MAT9-PAT23-COL7-BST2,Брусчатка клинкерная,m2,P_K_06.jpg,Желтая клинкерная брусчатка. раскладка елкой.
P_M_01_a,PAV-PRD2-MAT10-COL5-BST1,Асфальтобетон,m2,P_M_01.jpg,Темно-серое мелкозернистое покрытие из асфальтобетона.
P_M_01_b,PAV-PRD2-MAT10-COL5-BST2,Асфальтобетон,m2,P_M_01.jpg,Темно-серое мелкозернистое покрытие из асфальтобетона.
P_M_03_a,PAV-PRD2-MAT1-COL6-BST1,Монолитный бетон,m2,P_M_03.jpg,Гладкий монолитный светло-серый бетон.
P_M_04_a,PAV-PRD2-MAT2-COL6-BST1,Монолитный бетон,m2,P_M_04.jpg,Рифленый монолитный светло-серый бетон.
P_M_04_b,PAV-PRD2-MAT2-COL6-BST2,Монолитный бетон,m2,P_M_04.jpg,Рифленый монолитный светло-серый бетон.
P_M_05_a,PAV-PRD2-MAT1-COL8-BST1,Монолитный бетон,m2,P_M_05.jpg,Гладкий монолитный бетон. цвет красный.
P_R_01_a,PAV-PRD3-MAT11-COL3-BST1,Галтованный мрамор,m2,P_R_01.jpg,Мрамор галтованный фракцией 7-150 мм
P_R_01_b,PAV-PRD3-MAT11-COL3-BST2,Галтованный мрамор,m2,P_R_01.jpg,Мрамор галтованны фракцией 7-150 мм
P_R_02_a,PAV-PRD3-MAT12-COL1-BST1,Сланец,m2,P_R_02.jpg,Черный сланец фракцией 7-150 мм
P_R_02_b,PAV-PRD3-MAT12-COL1-BST2,Сланец,m2,P_R_02.jpg,Черный сланец фракцией 7-150 мм
P_R_03_a,PAV-PRD3-MAT12-COL10-BST1,Мульчирующая щепа,m2,P_R_03.jpg,Светлая мульчирующая щепа.
P_R_03_b,PAV-PRD3-MAT12-COL10-BST2,Мульчирующая щепа,m2,P_R_03.jpg,Светлая мульчирующая щепа.
P_R_04_a,PAV-PRD3-MAT12-COL9-BST1,Мульчирующая щепа,m2,P_R_04.jpg,Темная мульчирующая щепа.
P_R_04_b,PAV-PRD3-MAT12-COL9-BST2,Мульчирующая щепа,m2,P_R_04.jpg,Темная мульчирующая щепа.
P_R_05_a,PAV-PRD3-MAT14-BST1,Песок,m2,P_R_05.jpg,Песок речной.
P_R_05_b,PAV-PRD3-MAT14-BST2,Песок,m2,P_R_05.jpg,Песок речной.
P_R_06_a,PAV-PRD3-MAT5-COL10-BST1,Гранитный отсев,m2,P_R_06.jpg,Коричневый гранитный отсев фракцией 0-5 мм.
P_R_06_b,PAV-PRD3-MAT5-COL10-BST2,Гранитный отсев,m2,P_R_06.jpg,Коричневый гранитный отсев фракцией 0-5 мм.
P_R_07_a,PAV-PRD3-MAT5-COL2-BST1,Гранитный отсев,m2,P_R_07.jpg,Серый гранитный отсев фракцией 0-5 мм.
P_R_07_b,PAV-PRD3-MAT5-COL2-BST2,Гранитный отсев,m2,P_R_07.jpg,Серый гранитный отсев фракцией 0-5 мм.
P_S_01_a,PAV-PRD1-MAT3-5-COL2-3-BST1,Брусчатка каменная,m2,P_S_01.jpg,Серая гранитная брусчатка с засыпкой швов белой речной галькой. 100x100 поставщик: фабрика готика
P_S_01_b,PAV-PRD1-MAT3-5-COL2-3-BST2,Брусчатка каменная,m2,P_S_01.jpg,Серая гранитная брусчатка с засыпкой швов белой речной галькой. 100x100 поставщик: фабрика готика
P_S_02_a,PAV-PRD1-MAT3-12-COL2-1-BST1,Брусчатка каменная,m2,P_S_02.jpg,"Серая гранитная брусчатка с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
P_S_02_b,PAV-PRD1-MAT3-12-COL2-1-BST2,Брусчатка каменная,m2,P_S_02.jpg,"Серая гранитная брусчатка с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
P_S_03_a,PAV-PRD1-MAT3-5-COL5-3-BST1,Брусчатка каменная,m2,P_S_03.jpg,"Гранитная брусчатка габбро с засыпкой швов белой речной галькой. 100x100 
поставщик: фабрика готика"
P_S_03_b,PAV-PRD1-MAT3-5-COL5-3-BST2,Брусчатка каменная,m2,P_S_03.jpg,"Гранитная брусчатка габбро с засыпкой швов белой речной галькой. 100x100 
поставщик: фабрика готика"
P_S_04_a,PAV-PRD1-MAT3-12-COL5-1-BST1,Брусчатка каменная,m2,P_S_04.jpg,"Гранитная брусчатка габбро с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
P_S_04_b,PAV-PRD1-MAT3-12-COL5-1-BST2,Брусчатка каменная,m2,P_S_04.jpg,"Гранитная брусчатка габбро с засыпкой швов черным сланцем. 100x100 
поставщик: фабрика готика"
P_W_01_a,PAV-PRD1-MAT7-5-COL10-3-BST1,Деревянная брусчатка,m2,P_W_01.jpg,"Светлая деревянная брусчатка с засыпкой швов белой речной
галькой."
P_W_01_b,PAV-PRD1-MAT7-5-COL10-3-BST2,Деревянная брусчатка,m2,P_W_01.jpg,"Светлая деревянная брусчатка с засыпкой швов белой речной
галькой."
P_W_02_a,PAV-PRD1-MAT7-12-COL10-1-BST1,Деревянная брусчатка,m2,P_W_02.jpg,"Светлая деревянная брусчатка с засыпкой швов черным
сланцем."
P_W_02_b,PAV-PRD1-MAT7-12-COL10-1-BST2,Деревянная брусчатка,m2,P_W_02.jpg,"Светлая деревянная брусчатка с засыпкой швов черным
сланцем."
P_W_03_a,PAV-PRD1-MAT7-5-COL9-3-BST1,Деревянная брусчатка,m2,P_W_03.jpg,"Темная деревянная брусчатка с засыпкой швов белой речной
галькой."
P_W_03_b,PAV-PRD1-MAT7-5-COL9-3-BST2,Деревянная брусчатка,m2,P_W_03.jpg,"Темная деревянная брусчатка с засыпкой швов белой речной
галькой."
P_W_04_a,PAV-PRD1-MAT7-12-COL9-1-BST1,Деревянная брусчатка,m2,P_W_04.jpg,Темная деревянная брусчатка с засыпкой швов черным сланцем.
P_W_04_b,PAV-PRD1-MAT7-12-COL9-1-BST2,Деревянная брусчатка,m2,P_W_04.jpg,Темная деревянная брусчатка с засыпкой швов черным сланцем.
